,Text,Offensive
0,"Most of Private Banks ATM's Like HDFC, ICICI etc are out of cash. Only Public sector bank's ATM working",NAG
1,"Now question is, Pakistan will adhere to this?",OAG
2,Pakistan is comprised of fake muslims who does not know the meaning of unity and imposes their thoughts  on others.....all the rascals have gathered there...,OAG
3,"??we r against cow slaughter,so of course it will stop leather manufacturing if it happens.",NAG
4,Wondering why Educated Ambassador is struggling to pay through Credit/Debit at a Decent Restaurant! Cant imagine that diplomat of a Developed nation is not having a Card and he needs Cash only for Dinner.,CAG
5,How does inflation react to all the after shocks of this demon...?,NAG
6,Not good job.....this guis creating a problem n our socacity,CAG
7,This is a false news Indian media is simply misguiding there nation and creating hatred..Media should be v careful while spreading the news..SHAME.:(,NAG
8,"no permanent foes, no permanent friends. interest is permanent !",NAG
9,"Deepak Kumar Sharma Saab...chalo aap ki Ye baat ek baar mann li...Now whatever pm Saab has talked about in 2014...Kya kya Kia us main...He is just a campaigner of BJP nothing else,ek cheez bta do.... but he is implementing all the bills which he opposed before 2014.. Example- FDI,GST and list is long...",NAG
10,Communist parties killed lacks of opponents in WB in 35 years ruling????? ?,OAG
11,"Why you guys counter the modi govt decisions, its fact there is black money cleanup stand taken ... so many discussions on news channel, individuals meetings 
Why so much of efforts made by media and make people scared and provoke",NAG
12,Rss is 3 time ban terrorist organization,OAG
13,"No 
Same acting ll be there .. 
but we ll watch no option !!!
😬😜",NAG
14,"Happy Diwali.!!let's wish the next one year health,wealth n growth to our Indian economy.",NAG
15,Lolz... He said he is gonna employ large number of people in cyber security sector.. are you gonna employ illiterates in that profile..????,NAG
16,"So funny stupid,,,,,,,,",OAG
17,absolutely! the deeper you dive the shallower cushion you have .,CAG
18,"Brown Sahib , anti national leftist commies , media and Muslim pandering Hindu sick-O-Lars have milked ""secularism"" to all it was worth to render it into a mere failed slogan . Sick-O-Larism has been nothing more than continuation of British policy of ""divide and rule"" . That RSS is opposed to ""the idea of secularism"" , absolutely  because it has been used as a dagger into the heart of Hindus , Hinduism and Hindustan .",CAG
19,"Now nifty above 20 day moving average, what next 50 day moving average 8359",NAG
20,Good to see when their in no terrror in pak and afgan and india as well so in can for development  step,NAG
21,"First of all,there is no gaurakshak in assam.the villagers beaten those two thieves...these things happen,when thieves try to steal the only property farmers have.",NAG
22,AAP dont need the monsters like u,OAG
23,For tht those hv more thn 2 flats or 2 land is legal rest has to surrender properties to govt,CAG
24,"Once upon a time Bengal/ Kolkata was most prosperous states in India. Now it is compared with Bihar/ Odisa. Wake up Mitra. Use your knowledge to help Bengal, rather than delivering stupid lecture.",NAG
25,"Oh Pak army or should say porki hijada army whose country didn't excepted the bodies of their dickless coward army during kargil war,army which submitted infront of Indian army in 1971 and east Pakistan became Bangladesh...And hijada army couldn't even save school childrens from merciless killings and Indian forces really  reached Lahore in 1965..",OAG
26,He would be a lone boss with all the supporters shifts with kejriwal.,NAG
27,We want to get rid of u Indians......why don't u hear our loud cries,OAG
28,"Only 13 % of jio customers converted into prime, so they extended d date😁",NAG
29,"Loot of people's mandate, is it democracy?",OAG
30,again the same thing in eyes of judiciary he is not terrorist he is accused in our eyes is terrorist and he deserved to killed who ever keep a bad eye on our nation he are she should be killed without no mercy,OAG
31,This problem is occur only in India not in other countries?,CAG
32,POSITIONAL BUY JPASSOCIATE ON EVERY DECLINE 13.00-10.50-7.50-5.50 FOR TARGET 36 AND 56 (TIME FRAME 2-3 YEARS),NAG
33,In government office implement the online transactions... also all parties should show off their account transaction for running their elections in RTI.,CAG
